"序号","题目ID","模块","原题型","问卷星建议题型","必填","题干","选项/取值","校验/范围","显示逻辑","互斥选项","风险提示","权重/备注"
"21","Q20","代谢与能量","scale","单选题","是","饭后，尤其是吃完米饭、面食、甜食后，是否容易特别犯困、没精神？","A=不会 | value:0
B=偶尔 | value:1
C=经常这样 | value:2
D=几乎每次吃完主食都犯困 | value:3","","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":4,""adrenal"":0}"
"22","Q21","代谢与能量","scale","单选题","是","您是否经常控制不住地想吃甜食或高碳水食物（面包、蛋糕、奶茶等）？","A=不太想 | value:0
B=有时候嘴馋 | value:1
C=经常忍不住 | value:2
D=不吃就觉得特别难受，有点“上瘾”的感觉 | value:3","","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":4,""adrenal"":1}"
"23","Q22","代谢与能量","scale","单选题","是","如果饿了没有及时吃东西，您会不会心慌、手抖、出冷汗，或者情绪特别烦躁？","A=不会 | value:0
B=偶尔 | value:1
C=经常 | value:2
D=几乎每次饿了都这样 | value:3","","","","","{""A"":0,""B"":0,""C"":0,""D"":0,""thyroid"":0,""insulin"":4,""adrenal"":2}"
"24","Q23","代谢与能量","scale","单选题","是","饮食没明显变多，甚至吃得更少了，但体重还是在涨，肉更容易长在腰和肚子上？","A=没有 | value:0
B=有一点 | value:1
C=比较明显 | value:2
D=非常明显，怎么控制都瘦不下来 | value:3","","","","","{""A"":1,""B"":3,""C"":2,""D"":2,""thyroid"":2,""insulin"":4,""adrenal"":1}"
"25","Q24","代谢与能量","scale","单选题","是","下午2～4点左右，您是否经常感到特别疲惫，好像电池没电了？","A=不会 | value:0
B=偶尔 | value:1
C=经常这样，需要咖啡或甜食才能撑住 | value:2
D=每天都这样，严重影响工作 | value:3","","","","","{""A"":0,""B"":0,""C"":0,""D"":1,""thyroid"":2,""insulin"":1,""adrenal"":4}"
"26","Q25","代谢与能量","scale","单选题","是","早上起床时，您觉得精力恢复得怎么样？","A=感觉休息够了，精力充沛 | value:0
B=还行，但没有以前那么有劲 | value:1
C=觉得没休息过来，拖着身体起床 | value:2
D=感觉比睡前还累，完全不想动 | value:3","","","","","{""A"":0,""B"":0,""C"":1,""D"":2,""thyroid"":3,""insulin"":0,""adrenal"":4}"
"27","Q26","身体变化","scale","单选题","是","您是否觉得阴道干涩，同房时不舒服，或者容易反复得尿道炎、阴道炎？","A=没有 | value:0
B=有一点干，偶尔不舒服 | value:1
C=比较明显，影响了夫妻生活 | value:2
D=非常干涩且反复感染 | value:3","","","","","{""A"":0,""B"":0,""C"":1,""D"":4,""thyroid"":0,""insulin"":0,""adrenal"":0}"
"28","Q27","身体变化","scale","单选题","是","您的关节是否经常僵硬或疼痛，尤其是早上起来的时候？","A=没有 | value:0
B=偶尔 | value:1
C=经常有，活动后会好一些 | value:2
D=非常严重，影响日常活动 | value:3","","","","","{""A"":1,""B"":1,""C"":1,""D"":3,""thyroid"":1,""insulin"":0,""adrenal"":0}"
"29","Q28","身体变化","multi","多选题","是","您的皮肤和头发有什么变化？（可多选）","A=皮肤变得很干，怎么涂都不够润 | value:dry_skin | score:2
B=头发明显变稀、掉得多 | value:hair_loss | score:2
C=眉毛尾部变稀或脱落 | value:eyebrow_loss | score:4
D=皮肤变薄了，容易瘀伤 | value:thin_skin | score:1
E=没什么变化 | value:none | score:0","","","没什么变化","","""special_Q28"""
"30","Q29","身体变化","single","单选题","是","您是否对温度变得更敏感了？","A=特别怕冷，手脚冰凉，比别人穿得多 | value:A
B=特别怕热，别人觉得正常的温度我觉得热得受不了 | value:B
C=忽冷忽热，一会儿怕冷一会儿怕热 | value:C
D=没什么特别变化 | value:D","","","","","""special_Q29"""
"31","Q30","身体变化","multi","多选题","是","请选出您有的情况：（可多选）","A=便秘，好几天不排便或排便很费劲 | value:constipation | score:3
B=经常腹泻或大便不成形 | value:diarrhea | score:3
C=脖子前面感觉变粗或有肿胀感 | value:neck_swelling | score:4
D=安静时心跳偏慢（持续低于50次/分钟；如果长期运动锻炼则不算） | value:low_hr | score:3
E=安静时心跳偏快（持续高于80次/分钟） | value:high_hr | score:3
F=以上都没有 | value:none | score:0","","","以上都没有","orange｜内分泌科/甲状腺外科｜脖子肿胀需要排查甲状腺结节或肿大｜条件：selectedValues.includes('neck_swelling')","""special_Q30"""
"32","Q31","生活与心理","scale","单选题","是","和以前比，您对“性”的兴趣有什么变化？","A=没什么变化 | value:0
B=有所下降，但不太在意 | value:1
C=明显下降，自己也觉得不太正常 | value:2
D=完全没有兴趣了 | value:3","","","","","{""A"":1,""B"":1,""C"":2,""D"":4,""thyroid"":1,""insulin"":0,""adrenal"":2}"
"33","Q32","生活与心理","scale","单选题","是","您是否觉得记性明显变差了？比如话到嘴边说不出来，经常忘记刚才要做什么？","A=没有 | value:0
B=偶尔 | value:1
C=经常这样，自己也着急 | value:2
D=非常严重，已经影响工作和生活 | value:3","","","","","{""A"":1,""B"":1,""C"":2,""D"":3,""thyroid"":2,""insulin"":1,""adrenal"":1}"
